phrase,category,final_score,quality_classification,decision,distinctiveness_score,describability_score,legacy_heuristics_score,cultural_validation_score,duration_ms,timestamp,error
"Adidas Sneakers","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,31,2025-07-31T15:45:50.313Z,
"Adidas Tracksuit","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,28,2025-07-31T15:45:50.316Z,
"Amazon Prime","Brands & Companies",26.42,poor,[object Object],0,5,6.5,15,28,2025-07-31T15:45:50.316Z,
"Apple Inc","Brands & Companies",27.46,poor,[object Object],0,5,7.75,15,28,2025-07-31T15:45:50.316Z,
"Apple iPhone","Brands & Companies",26.42,poor,[object Object],0,5,6.5,15,28,2025-07-31T15:45:50.316Z,
"Burger King","Brands & Companies",27.67,poor,[object Object],0,5,14,10,27,2025-07-31T15:45:50.317Z,
"Burger King Whopper","Brands & Companies",24.42,poor,[object Object],0,5,12.5,8,27,2025-07-31T15:45:50.317Z,
"Coca Cola","Brands & Companies",13.50,unacceptable,[object Object],0,5,9,0,26,2025-07-31T15:45:50.318Z,
"Disney Movies","Brands & Companies",34.42,poor,[object Object],0,5,6.5,23,26,2025-07-31T15:45:50.318Z,
"Disney Studios","Brands & Companies",34.42,poor,[object Object],0,5,6.5,23,26,2025-07-31T15:45:50.318Z,
"Disneyland Park","Brands & Companies",23.58,poor,[object Object],0,5,11.5,8,26,2025-07-31T15:45:50.318Z,
"Facebook App","Brands & Companies",19.42,unacceptable,[object Object],0,5,6.5,8,26,2025-07-31T15:45:50.318Z,
"Facebook Profile","Brands & Companies",18.38,unacceptable,[object Object],0,5,5.25,8,26,2025-07-31T15:45:50.318Z,
"Google Search","Brands & Companies",26.42,poor,[object Object],0,5,6.5,15,26,2025-07-31T15:45:50.318Z,
"Lego Blocks","Brands & Companies",12.46,unacceptable,[object Object],0,5,7.75,0,25,2025-07-31T15:45:50.319Z,
"McDonald's Fries","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,25,2025-07-31T15:45:50.319Z,
"Microsoft Office","Brands & Companies",15.58,unacceptable,[object Object],0,5,11.5,0,25,2025-07-31T15:45:50.319Z,
"Microsoft Windows","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,25,2025-07-31T15:45:50.319Z,
"Netflix Movie","Brands & Companies",39.63,poor,[object Object],0,5,12.75,23,25,2025-07-31T15:45:50.319Z,
"Netflix Show","Brands & Companies",35.46,poor,[object Object],0,5,7.75,23,25,2025-07-31T15:45:50.319Z,
"Netflix Shows","Brands & Companies",34.42,poor,[object Object],0,5,6.5,23,25,2025-07-31T15:45:50.319Z,
"Netflix Streaming","Brands & Companies",33.38,poor,[object Object],0,5,5.25,23,25,2025-07-31T15:45:50.319Z,
"Nike Shoes","Brands & Companies",12.46,unacceptable,[object Object],0,5,7.75,0,24,2025-07-31T15:45:50.320Z,
"Nike Sneakers","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,24,2025-07-31T15:45:50.320Z,
"Pepsi Cola","Brands & Companies",12.46,unacceptable,[object Object],0,5,7.75,0,24,2025-07-31T15:45:50.320Z,
"Pepsi Drink","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,24,2025-07-31T15:45:50.320Z,
"Samsung Electronics","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,24,2025-07-31T15:45:50.320Z,
"Samsung Galaxy","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,24,2025-07-31T15:45:50.320Z,
"Samsung Phones","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,23,2025-07-31T15:45:50.321Z,
"Spotify Music","Brands & Companies",39.63,poor,[object Object],0,5,12.75,23,23,2025-07-31T15:45:50.321Z,
"Starbucks Coffee","Brands & Companies",58.67,acceptable,[object Object],0,20,14,23,23,2025-07-31T15:45:50.321Z,
"Tesla Car","Brands & Companies",51.71,acceptable,[object Object],0,20,15.25,15,23,2025-07-31T15:45:50.321Z,
"Tesla Cars","Brands & Companies",12.46,unacceptable,[object Object],0,5,7.75,0,23,2025-07-31T15:45:50.321Z,
