phrase,category,final_score,quality_classification,decision,distinctiveness_score,describability_score,legacy_heuristics_score,cultural_validation_score,duration_ms,timestamp,error
"Adidas Sneakers","Brands & Companies",28.38,poor,[object Object],0,20,5.25,0,19,2025-07-31T15:53:10.340Z,
"Adidas Tracksuit","Brands & Companies",19.98,unacceptable,[object Object],0,13,5.25,0,18,2025-07-31T15:53:10.341Z,
"Amazon Prime","Brands & Companies",36.02,poor,[object Object],0,13,6.5,15,17,2025-07-31T15:53:10.342Z,
"Apple Inc","Brands & Companies",37.06,poor,[object Object],0,13,7.75,15,17,2025-07-31T15:53:10.342Z,
"Apple iPhone","Brands & Companies",44.42,acceptable,[object Object],0,20,6.5,15,17,2025-07-31T15:53:10.342Z,
"Burger King","Brands & Companies",45.67,acceptable,[object Object],0,20,14,10,17,2025-07-31T15:53:10.342Z,
"Burger King Whopper","Brands & Companies",42.42,acceptable,[object Object],0,20,12.5,8,17,2025-07-31T15:53:10.342Z,
"Coca Cola","Brands & Companies",48.10,acceptable,[object Object],25,13,9,0,14,2025-07-31T15:53:10.342Z,
"Disney Movies","Brands & Companies",44.02,acceptable,[object Object],0,13,6.5,23,17,2025-07-31T15:53:10.342Z,
"Disney Studios","Brands & Companies",44.02,acceptable,[object Object],0,13,6.5,23,16,2025-07-31T15:53:10.343Z,
"Disneyland Park","Brands & Companies",41.58,acceptable,[object Object],0,20,11.5,8,16,2025-07-31T15:53:10.343Z,
"Facebook App","Brands & Companies",37.42,poor,[object Object],0,20,6.5,8,16,2025-07-31T15:53:10.343Z,
"Facebook Profile","Brands & Companies",36.38,poor,[object Object],0,20,5.25,8,16,2025-07-31T15:53:10.343Z,
"Google Search","Brands & Companies",36.02,poor,[object Object],0,13,6.5,15,16,2025-07-31T15:53:10.343Z,
"Lego Blocks","Brands & Companies",22.06,poor,[object Object],0,13,7.75,0,16,2025-07-31T15:53:10.343Z,
"McDonald's Fries","Brands & Companies",28.38,poor,[object Object],0,20,5.25,0,16,2025-07-31T15:53:10.343Z,
"Microsoft Office","Brands & Companies",25.18,poor,[object Object],0,13,11.5,0,15,2025-07-31T15:53:10.344Z,
"Microsoft Windows","Brands & Companies",19.98,unacceptable,[object Object],0,13,5.25,0,15,2025-07-31T15:53:10.344Z,
"Netflix Movie","Brands & Companies",57.63,acceptable,[object Object],0,20,12.75,23,15,2025-07-31T15:53:10.344Z,
"Netflix Show","Brands & Companies",45.06,acceptable,[object Object],0,13,7.75,23,15,2025-07-31T15:53:10.344Z,
"Netflix Shows","Brands & Companies",44.02,acceptable,[object Object],0,13,6.5,23,15,2025-07-31T15:53:10.344Z,
"Netflix Streaming","Brands & Companies",42.98,acceptable,[object Object],0,13,5.25,23,15,2025-07-31T15:53:10.344Z,
"Nike Shoes","Brands & Companies",30.46,poor,[object Object],0,20,7.75,0,15,2025-07-31T15:53:10.344Z,
"Nike Sneakers","Brands & Companies",29.42,poor,[object Object],0,20,6.5,0,15,2025-07-31T15:53:10.344Z,
"Pepsi Cola","Brands & Companies",22.06,poor,[object Object],0,13,7.75,0,14,2025-07-31T15:53:10.345Z,
"Pepsi Drink","Brands & Companies",21.02,poor,[object Object],0,13,6.5,0,14,2025-07-31T15:53:10.345Z,
"Samsung Electronics","Brands & Companies",19.98,unacceptable,[object Object],0,13,5.25,0,14,2025-07-31T15:53:10.345Z,
"Samsung Galaxy","Brands & Companies",21.02,poor,[object Object],0,13,6.5,0,14,2025-07-31T15:53:10.345Z,
"Samsung Phones","Brands & Companies",29.42,poor,[object Object],0,20,6.5,0,14,2025-07-31T15:53:10.345Z,
"Spotify Music","Brands & Companies",49.23,acceptable,[object Object],0,13,12.75,23,14,2025-07-31T15:53:10.345Z,
"Starbucks Coffee","Brands & Companies",58.67,acceptable,[object Object],0,20,14,23,14,2025-07-31T15:53:10.345Z,
"Tesla Car","Brands & Companies",51.71,acceptable,[object Object],0,20,15.25,15,14,2025-07-31T15:53:10.345Z,
"Tesla Cars","Brands & Companies",30.46,poor,[object Object],0,20,7.75,0,13,2025-07-31T15:53:10.346Z,
"Tesla Motors","Brands & Companies",21.02,poor,[object Object],0,13,6.5,0,13,2025-07-31T15:53:10.346Z,
"Toyota Prius","Brands & Companies",21.02,poor,[object Object],0,13,6.5,0,12,2025-07-31T15:53:10.347Z,
"Uber Ride","Brands & Companies",31.50,poor,[object Object],0,20,9,0,12,2025-07-31T15:53:10.347Z,
"Ballet Flats","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,11,2025-07-31T15:53:10.348Z,
"Baseball Cap","Clothing & Fashion",43.67,acceptable,[object Object],0,20,14,8,11,2025-07-31T15:53:10.348Z,
"Cargo Pants","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,11,2025-07-31T15:53:10.348Z,
"Catwalk Model","Clothing & Fashion",5.42,unacceptable,[object Object],0,0,6.5,0,11,2025-07-31T15:53:10.348Z,
"Corduroy Pants","Clothing & Fashion",28.38,poor,[object Object],0,20,5.25,0,10,2025-07-31T15:53:10.349Z,
"Cotton T-shirt","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,10,2025-07-31T15:53:10.349Z,
"Denim Jacket","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,10,2025-07-31T15:53:10.349Z,
"Denim Jeans","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,10,2025-07-31T15:53:10.349Z,
"Denim Overalls","Clothing & Fashion",19.98,unacceptable,[object Object],0,13,5.25,0,10,2025-07-31T15:53:10.349Z,
"Designer Handbag","Clothing & Fashion",19.98,unacceptable,[object Object],0,13,5.25,0,10,2025-07-31T15:53:10.349Z,
