id,phrase,final_score
d0015261-9d39-42ef-afda-9b6c0b03ff4f,"Exclusive Content",4.38
8a6487c0-217c-40e0-8beb-1328c9a15188,"Rocket Launch",5.42
f90ef7db-c3df-42ed-b39b-f1c8f5b52ce0,"Solar Energy",5.42
7976a9e2-7976-4cea-9d01-24910787f8c7,"Content Library",5.42
33991f2b-c0ee-4772-abc7-a49e6b0d7064,"database test phrase",9.03
854d69a9-da7e-4c1f-8f1b-dabd7b0c653f,"Wireless Charging",9.33
03b3ae1d-c051-418c-adeb-364aa4397e83,"Airplane Boarding",9.33
d483a299-613d-4962-9e68-3d960a4f9595,"Tropical Rainforest",9.33
d8d95fb5-9f5e-49cd-80d0-1289b9bd3c6e,"Birthday Celebration",9.33
9982c929-d659-4ff9-af5e-e3edfec23382,"Bluetooth Headphones",9.33
65afc5f6-04c0-4594-b1de-168a39bf753f,"Streaming Platform",9.33
b06c5f26-582c-44bc-bf2e-d12440336e7e,"American Revolution",9.33
43a92881-c9c5-42e0-b3f2-8a3deefe7c4a,"Wireless Headphones",9.33
e6058159-5d1f-4036-8a7b-e4aa584193f6,"Parental Controls",9.33
54bdd5d8-4856-44fa-b79b-242bf5db3408,"Complete Makeover",9.33
ec0d5ea9-7a10-41eb-b0e0-da9b562123b2,"Classical Symphony",9.33
53df47ae-25c6-4b20-98f9-f8e9c3cceefb,"Omniscient Narrator",9.33
28197fb9-a4ba-4382-8627-dea9f44dbd57,"Renaissance Period",10.38
abeabb1f-dbe0-4dd0-96f3-f20c1d431348,"Spaghetti Dinner",10.38
1fcde345-c585-4a5b-a7e0-5579318a48bb,"French Revolution",10.38
e509f527-700b-4fd2-8d9a-a9e4e651d79a,"Signing Declaration",10.38
2c89eca1-3493-4112-9f82-264988707df1,"Safari Adventure",10.38
721a3e80-c3e8-465c-8d2a-3d4d2ad3fefe,"William Shakespeare",10.38
52858576-6b95-4778-b108-d4fec3d9c70a,"Saxophone Player",10.38
008705cc-4892-4309-85c8-97d3dba3e5dc,"Everything Hurts",10.38
e050b65a-ec1a-4da6-98ed-e1e37e7e80d9,"Streaming Video",10.38
4b84f43d-30d1-4e19-b1d8-1a22942d9e87,"Space Adventure",10.38
dac9062a-7842-4869-a865-c8b9a7bd8c7b,"Sherlock Holmes",10.38
092fadc0-d7dc-4f7e-8654-aa7e986ed635,"Misty Mountains",10.38
